tau_sec,offset_sec,ev_sampling_shift,accuracy
50,-10,23,0.20666666666666667
50,-9,54,0.37333333333333335
50,-8,58,0.9766666666666667
50,-7,15,0.38333333333333336
50,-6,47,0.8566666666666667
50,-5,15,0.4066666666666667
50,-4,10,0.9933333333333333
50,-3,20,0.78
50,-2,55,0.9866666666666667
50,-1,3,1.0
50,0,52,1.0
50,1,43,1.0
50,2,37,1.0
50,3,24,0.5333333333333333
50,4,12,0.5833333333333334
50,5,5,1.0
50,6,46,0.9733333333333334
50,7,34,0.3433333333333333
50,8,57,0.9933333333333333
50,9,32,0.26666666666666666
50,10,55,0.9866666666666667
