tau_sec,offset_sec,ev_sampling_shift,accuracy
55,-10,24,1.0
55,-9,24,1.0
55,-8,32,1.0
55,-7,41,0.9866666666666667
55,-6,44,0.6433333333333333
55,-5,55,0.6633333333333333
55,-4,5,1.0
55,-3,2,0.9866666666666667
55,-2,18,1.0
55,-1,25,1.0
55,0,12,1.0
55,1,43,1.0
55,2,39,0.9266666666666666
55,3,2,1.0
55,4,47,0.2633333333333333
55,5,9,1.0
55,6,13,1.0
55,7,13,1.0
55,8,8,1.0
55,9,10,1.0
55,10,52,0.18333333333333332
