tau_sec,offset_sec,ev_sampling_shift,accuracy
45,-10,57,0.15666666666666668
45,-9,24,0.5666666666666667
45,-8,17,0.8566666666666667
45,-7,3,0.5233333333333333
45,-6,19,0.9633333333333334
45,-5,34,0.9733333333333334
45,-4,35,0.9666666666666667
45,-3,52,0.9
45,-2,51,0.22666666666666666
45,-1,31,1.0
45,0,26,1.0
45,1,51,0.98
45,2,12,0.9866666666666667
45,3,6,0.96
45,4,15,1.0
45,5,43,1.0
45,6,34,0.32
45,7,56,0.8866666666666667
45,8,59,0.16666666666666666
45,9,41,0.9766666666666667
45,10,23,0.7333333333333333
