tau_sec,offset_sec,ev_sampling_shift,accuracy
35,-10,46,0.8566666666666667
35,-9,34,0.16
35,-8,14,0.6666666666666666
35,-7,30,0.08666666666666667
35,-6,49,1.0
35,-5,2,0.35
35,-4,49,1.0
35,-3,4,0.30666666666666664
35,-2,13,0.9533333333333334
35,-1,59,0.08666666666666667
35,0,2,0.9733333333333334
35,1,13,0.9933333333333333
35,2,15,0.24666666666666667
35,3,5,0.9666666666666667
35,4,54,0.97
35,5,6,0.6333333333333333
35,6,44,0.8533333333333334
35,7,28,0.6133333333333333
35,8,3,0.6333333333333333
35,9,43,0.26666666666666666
35,10,27,0.4666666666666667
