tau_sec,offset_sec,ev_sampling_shift,accuracy
45,-10,22,1.0
45,-9,18,1.0
45,-8,8,1.0
45,-7,12,1.0
45,-6,2,1.0
45,-5,8,1.0
45,-4,18,1.0
45,-3,12,1.0
45,-2,14,1.0
45,-1,19,1.0
45,0,26,1.0
45,1,9,1.0
45,2,0,1.0
45,3,6,1.0
45,4,29,1.0
45,5,3,1.0
45,6,16,1.0
45,7,13,1.0
45,8,11,1.0
45,9,25,1.0
45,10,25,1.0
